@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE LPbasedFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE NonContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE allVariablesFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ProbingFeatures {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
mip6304, 1, ok, ok, ok, ok, ok, ok
mip903, 1, ok, ok, ok, ok, ok, ok
mip5376, 1, ok, ok, ok, ok, ok, ok
mip2203, 1, ok, ok, ok, ok, ok, ok
mip8983, 1, ok, ok, ok, ok, ok, ok
mip6886, 1, ok, ok, ok, ok, ok, ok
mip5441, 1, ok, ok, ok, ok, ok, ok
mip6841, 1, ok, ok, ok, ok, ok, ok
mip4417, 1, ok, ok, ok, ok, ok, ok
mip5663, 1, ok, ok, ok, ok, ok, ok
mip7184, 1, ok, ok, ok, ok, ok, ok
mip4423, 1, ok, ok, ok, ok, ok, ok
mip7454, 1, ok, ok, ok, ok, ok, ok
mip1147, 1, ok, ok, ok, ok, ok, ok
mip5057, 1, ok, ok, ok, ok, ok, ok
mip850, 1, ok, ok, ok, ok, ok, ok
mip5613, 1, ok, ok, ok, ok, ok, ok
mip8438, 1, ok, ok, ok, ok, ok, ok
mip9052, 1, ok, ok, ok, ok, ok, ok
mip2782, 1, ok, ok, ok, ok, ok, ok
mip6977, 1, ok, ok, ok, ok, ok, ok
mip6723, 1, ok, ok, ok, ok, ok, ok
mip2745, 1, ok, ok, ok, ok, ok, ok
mip3060, 1, ok, ok, ok, ok, ok, ok
mip5316, 1, ok, ok, ok, ok, ok, ok
mip1637, 1, ok, ok, ok, ok, ok, ok
mip9592, 1, ok, ok, ok, ok, ok, ok
mip5707, 1, ok, ok, ok, ok, ok, ok
mip356, 1, ok, ok, ok, ok, ok, ok
mip8656, 1, ok, ok, ok, ok, ok, ok
mip4891, 1, ok, ok, ok, ok, ok, ok
mip864, 1, ok, ok, ok, ok, ok, ok
mip203, 1, ok, ok, ok, ok, ok, ok
mip1341, 1, ok, ok, ok, ok, ok, ok
mip4046, 1, ok, ok, ok, ok, ok, ok
mip9843, 1, ok, ok, ok, ok, ok, ok
mip1521, 1, ok, ok, ok, ok, ok, ok
mip2320, 1, ok, ok, ok, ok, ok, ok
mip3826, 1, ok, ok, ok, ok, ok, ok
mip822, 1, ok, ok, ok, ok, ok, ok
mip4143, 1, ok, ok, ok, ok, ok, ok
mip3176, 1, ok, ok, ok, ok, ok, ok
mip155, 1, ok, ok, ok, ok, ok, ok
mip4954, 1, ok, ok, ok, ok, ok, ok
mip5000, 1, ok, ok, ok, ok, ok, ok
mip1808, 1, ok, ok, ok, ok, ok, ok
mip784, 1, ok, ok, ok, ok, ok, ok
mip1146, 1, ok, ok, ok, ok, ok, ok
mip6012, 1, ok, ok, ok, ok, ok, ok
mip1491, 1, ok, ok, ok, ok, ok, ok
mip4416, 1, ok, ok, ok, ok, ok, ok
mip1539, 1, ok, ok, ok, ok, ok, ok
mip7210, 1, ok, ok, ok, ok, ok, ok
mip5097, 1, ok, ok, ok, ok, ok, ok
mip1674, 1, ok, ok, ok, ok, ok, ok
mip5871, 1, ok, ok, ok, ok, ok, ok
mip1004, 1, ok, ok, ok, ok, ok, ok
mip1021, 1, ok, ok, ok, ok, ok, ok
mip1669, 1, ok, ok, ok, ok, ok, ok
mip3067, 1, ok, ok, ok, ok, ok, ok
mip1626, 1, ok, ok, ok, ok, ok, ok
mip8820, 1, ok, ok, ok, ok, ok, ok
mip5459, 1, ok, ok, ok, ok, ok, ok
mip3645, 1, ok, ok, ok, ok, ok, ok
mip5359, 1, ok, ok, ok, ok, ok, ok
mip8315, 1, ok, ok, ok, ok, ok, ok
mip4729, 1, ok, ok, ok, ok, ok, ok
mip2640, 1, ok, ok, ok, ok, ok, ok
mip2399, 1, ok, ok, ok, ok, ok, ok
mip1422, 1, ok, ok, ok, ok, ok, ok
mip6432, 1, ok, ok, ok, ok, ok, ok
mip2994, 1, ok, ok, ok, ok, ok, ok
mip857, 1, ok, ok, ok, ok, ok, ok
mip7175, 1, ok, ok, ok, ok, ok, ok
mip9392, 1, ok, ok, ok, ok, ok, ok
mip3496, 1, ok, ok, ok, ok, ok, ok
mip1713, 1, ok, ok, ok, ok, ok, ok
mip8868, 1, ok, ok, ok, ok, ok, ok
mip5221, 1, ok, ok, ok, ok, ok, ok
mip3670, 1, ok, ok, ok, ok, ok, ok
mip3155, 1, ok, ok, ok, ok, ok, ok
mip8121, 1, ok, ok, ok, ok, ok, ok
mip5803, 1, ok, ok, ok, ok, ok, ok
mip1128, 1, ok, ok, ok, ok, ok, ok
mip7880, 1, ok, ok, ok, ok, ok, ok
mip3028, 1, ok, ok, ok, ok, ok, ok
mip2947, 1, ok, ok, ok, ok, ok, ok
mip7172, 1, ok, ok, ok, ok, ok, ok
mip2415, 1, ok, ok, ok, ok, ok, ok
mip4217, 1, ok, ok, ok, ok, ok, ok
mip4571, 1, ok, ok, ok, ok, ok, ok
mip7738, 1, ok, ok, ok, ok, ok, ok
mip9922, 1, ok, ok, ok, ok, ok, ok
mip300, 1, ok, ok, ok, ok, ok, ok
mip2414, 1, ok, ok, ok, ok, ok, ok
mip6136, 1, ok, ok, ok, ok, ok, ok
mip3929, 1, ok, ok, ok, ok, ok, ok
mip9938, 1, ok, ok, ok, ok, ok, ok
mip6753, 1, ok, ok, ok, ok, ok, ok
mip5258, 1, ok, ok, ok, ok, ok, ok
mip9845, 1, ok, ok, ok, ok, ok, ok
mip8616, 1, ok, ok, ok, ok, ok, ok
mip5012, 1, ok, ok, ok, ok, ok, ok
mip9660, 1, ok, ok, ok, ok, ok, ok
mip4688, 1, ok, ok, ok, ok, ok, ok
mip8591, 1, ok, ok, ok, ok, ok, ok
mip7392, 1, ok, ok, ok, ok, ok, ok
mip2160, 1, ok, ok, ok, ok, ok, ok
mip9508, 1, ok, ok, ok, ok, ok, ok
mip3531, 1, ok, ok, ok, ok, ok, ok
mip3148, 1, ok, ok, ok, ok, ok, ok
mip2421, 1, ok, ok, ok, ok, ok, ok
mip6731, 1, ok, ok, ok, ok, ok, ok
mip1332, 1, ok, ok, ok, ok, ok, ok
mip1359, 1, ok, ok, ok, ok, ok, ok
mip4497, 1, ok, ok, ok, ok, ok, ok
mip4644, 1, ok, ok, ok, ok, ok, ok
mip2292, 1, ok, ok, ok, ok, ok, ok
mip68, 1, ok, ok, ok, ok, ok, ok
mip490, 1, ok, ok, ok, ok, ok, ok
mip6595, 1, ok, ok, ok, ok, ok, ok
mip9249, 1, ok, ok, ok, ok, ok, ok
mip8618, 1, ok, ok, ok, ok, ok, ok
