@RELATION ALGORITHM_RUNS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mip6134, 1, Config2, 32.4821569919586, ok
mip6134, 1, Config3, 29.2745690345764, ok
mip2291, 1, ConfigDefault, 7638.72253704071, ok
mip2291, 1, Config1, 840.09842300415, ok
mip2291, 1, Config2, 1123.92666602134, ok
mip2291, 1, Config3, 1063.99037909507, ok
mip6721, 1, ConfigDefault, 4749.89356708526, ok
mip6721, 1, Config1, 1142.56973695755, ok
mip6721, 1, Config2, 1732.04515886306, ok
mip6721, 1, Config3, 1605.08014822006, ok
mip9184, 1, ConfigDefault, 725.747479915618, ok
mip9184, 1, Config1, 138.838495969772, ok
mip9184, 1, Config2, 320.286607980728, ok
mip9184, 1, Config3, 417.977980852127, ok
mip3971, 1, ConfigDefault, 9600.0, timeout
mip3971, 1, Config1, 9585.2136478424, ok
mip3971, 1, Config2, 9600.0, timeout
mip3971, 1, Config3, 9600.0, timeout
mip937, 1, ConfigDefault, 9600.0, timeout
mip937, 1, Config1, 7754.89370203018, ok
mip937, 1, Config2, 9600.0, timeout
mip937, 1, Config3, 9600.0, timeout
mip1287, 1, ConfigDefault, 5308.09160304069, ok
mip1287, 1, Config1, 197.631180047988, ok
mip1287, 1, Config2, 483.053758144378, ok
mip1287, 1, Config3, 282.039974927902, ok
mip1798, 1, ConfigDefault, 9600.0, timeout
mip1798, 1, Config1, 6812.23022699356, ok
mip1798, 1, Config2, 8527.44485878944, ok
mip1798, 1, Config3, 9176.75918292999, ok
mip5730, 1, ConfigDefault, 9600.0, timeout
mip5730, 1, Config1, 505.180714845657, ok
mip5730, 1, Config2, 1068.36266803741, ok
mip5730, 1, Config3, 933.211887836456, ok
mip2863, 1, ConfigDefault, 5163.82913899421, ok
mip2863, 1, Config1, 315.649924993515, ok
mip2863, 1, Config2, 535.776468992233, ok
mip2863, 1, Config3, 448.280686855316, ok
mip6710, 1, ConfigDefault, 1027.68464899063, ok
mip6710, 1, Config1, 177.005431890487, ok
mip6710, 1, Config2, 394.913250923156, ok
mip6710, 1, Config3, 1172.55026507377, ok
mip1807, 1, ConfigDefault, 9600.0, timeout
mip1807, 1, Config1, 700.643003940582, ok
mip1807, 1, Config2, 1042.29992699623, ok
mip1807, 1, Config3, 1452.50957202911, ok
mip9756, 1, ConfigDefault, 9600.0, timeout
mip9756, 1, Config1, 3371.32492709159, ok
mip9756, 1, Config2, 3690.12622308731, ok
mip9756, 1, Config3, 6312.7429242134, ok
mip3282, 1, ConfigDefault, 2968.01008796691, ok
mip3282, 1, Config1, 609.060797929763, ok
mip3282, 1, Config2, 3268.07266902923, ok
mip3282, 1, Config3, 1134.08849596977, ok
mip241, 1, ConfigDefault, 76.3436229228973, ok
mip241, 1, Config1, 62.9503910541534, ok
mip241, 1, Config2, 72.1587920188903, ok
mip241, 1, Config3, 75.2687389850616, ok
mip2021, 1, ConfigDefault, 7539.39009881019, ok
mip2021, 1, Config1, 225.435473918914, ok
mip2021, 1, Config2, 419.549177885055, ok
mip2021, 1, Config3, 373.3237388134, ok
mip5662, 1, ConfigDefault, 9600.0, timeout
mip5662, 1, Config1, 1026.04554104805, ok
mip5662, 1, Config2, 1501.46110296249, ok
mip5662, 1, Config3, 2113.23861193656, ok
mip3646, 1, ConfigDefault, 9600.0, timeout
mip3646, 1, Config1, 3795.40316295623, ok
mip3646, 1, Config2, 4645.15166997909, ok
mip3646, 1, Config3, 6681.75042891502, ok
mip7803, 1, ConfigDefault, 9600.0, timeout
mip7803, 1, Config1, 645.103904008865, ok
mip7803, 1, Config2, 766.866766929626, ok
mip7803, 1, Config3, 3432.33907103538, ok
mip1398, 1, ConfigDefault, 9600.0, timeout
mip1398, 1, Config1, 620.090888023376, ok
mip1398, 1, Config2, 959.304753065109, ok
mip1398, 1, Config3, 789.789041042327, ok
mip7986, 1, ConfigDefault, 9600.0, timeout
mip7986, 1, Config1, 612.913881063461, ok
mip7986, 1, Config2, 1794.43236613273, ok
mip7986, 1, Config3, 823.389621019363, ok
mip8281, 1, ConfigDefault, 1213.41501998901, ok
mip8281, 1, Config1, 198.34274482727, ok
mip8281, 1, Config2, 335.780829191207, ok
mip8281, 1, Config3, 294.246829986572, ok
mip8529, 1, ConfigDefault, 50.3701219558715, ok
mip8529, 1, Config1, 21.8435127735137, ok
mip8529, 1, Config2, 32.7829349040985, ok
mip8529, 1, Config3, 29.493448972702, ok
mip1558, 1, ConfigDefault, 7639.8478360176, ok
mip1558, 1, Config1, 385.993036031723, ok
mip1558, 1, Config2, 1742.77907609939, ok
mip1558, 1, Config3, 558.201071977615, ok
mip2993, 1, ConfigDefault, 9600.0, timeout
mip2993, 1, Config1, 504.192054033279, ok
mip2993, 1, Config2, 835.552915096283, ok
mip2993, 1, Config3, 1040.80499100685, ok
mip6234, 1, ConfigDefault, 1262.88247179985, ok
mip6234, 1, Config1, 143.536163091659, ok
mip6234, 1, Config2, 220.77341890335, ok
mip6234, 1, Config3, 990.7753469944, ok
mip730, 1, ConfigDefault, 268.832479000091, ok
mip730, 1, Config1, 67.9978730678558, ok
mip730, 1, Config2, 122.259660959243, ok
mip730, 1, Config3, 95.7880308628082, ok
mip8721, 1, ConfigDefault, 66.8437659740448, ok
mip8721, 1, Config1, 63.5656108856201, ok
mip8721, 1, Config2, 293.345865011215, ok
mip8721, 1, Config3, 146.279609918594, ok
mip4646, 1, ConfigDefault, 2621.81852006912, ok
mip4646, 1, Config1, 475.515043973922, ok
mip4646, 1, Config2, 1746.19997191429, ok
mip4646, 1, Config3, 1845.65539503097, ok
mip9062, 1, ConfigDefault, 4455.34794688224, ok
mip9062, 1, Config1, 256.261203050613, ok
mip9062, 1, Config2, 633.743254899978, ok
mip9062, 1, Config3, 636.001470088958, ok
mip3134, 1, ConfigDefault, 1488.97007894516, ok
mip3134, 1, Config1, 586.84611582756, ok
mip3134, 1, Config2, 2314.29561090469, ok
mip3134, 1, Config3, 753.455688953399, ok
mip5599, 1, ConfigDefault, 102.637006998062, ok
mip5599, 1, Config1, 61.172245979309, ok
mip5599, 1, Config2, 77.2086389064788, ok
mip5599, 1, Config3, 3727.50331687927, ok
mip6081, 1, ConfigDefault, 5808.50704789161, ok
mip6081, 1, Config1, 234.271583080291, ok
mip6081, 1, Config2, 323.352718114852, ok
mip6081, 1, Config3, 300.299633026123, ok
mip7568, 1, ConfigDefault, 6049.59587907791, ok
mip7568, 1, Config1, 201.842024087905, ok
mip7568, 1, Config2, 411.788537025451, ok
mip7568, 1, Config3, 521.201699018478, ok
mip1190, 1, ConfigDefault, 9600.0, timeout
mip1190, 1, Config1, 1320.87041187286, ok
mip1190, 1, Config2, 2975.47011995315, ok
mip1190, 1, Config3, 2355.96358013153, ok
mip4089, 1, ConfigDefault, 9600.0, timeout
mip4089, 1, Config1, 8716.22399806976, ok
mip4089, 1, Config2, 9600.0, timeout
mip4089, 1, Config3, 9600.0, timeout
mip5219, 1, ConfigDefault, 2686.92814207077, ok
mip5219, 1, Config1, 127.315137147903, ok
mip5219, 1, Config2, 224.703058004379, ok
mip5219, 1, Config3, 187.950567007064, ok
mip3926, 1, ConfigDefault, 7011.40378308296, ok
mip3926, 1, Config1, 646.196342945098, ok
mip3926, 1, Config2, 1209.13230895996, ok
mip3926, 1, Config3, 1259.68535900115, ok
mip9949, 1, ConfigDefault, 2839.95609092712, ok
mip9949, 1, Config1, 198.542516946792, ok
mip9949, 1, Config2, 285.427305936813, ok
mip9949, 1, Config3, 361.181581974029, ok
mip6070, 1, ConfigDefault, 113.801640987396, ok
mip6070, 1, Config1, 75.2519650459289, ok
mip6070, 1, Config2, 258.493820905685, ok
mip6070, 1, Config3, 2263.48986816406, ok
mip1451, 1, ConfigDefault, 3572.08213710784, ok
mip1451, 1, Config1, 102.47059392929, ok
mip1451, 1, Config2, 115.636178016662, ok
mip1451, 1, Config3, 105.904139995574, ok
mip4790, 1, ConfigDefault, 2185.67427396774, ok
mip4790, 1, Config1, 1017.0131099224, ok
mip4790, 1, Config2, 1438.25881910324, ok
mip4790, 1, Config3, 1252.12821412086, ok
mip8277, 1, ConfigDefault, 6533.99121904373, ok
mip8277, 1, Config1, 653.050771951675, ok
mip8277, 1, Config2, 1367.60145401954, ok
mip8277, 1, Config3, 1173.68858003616, ok
mip7273, 1, ConfigDefault, 2222.96101307868, ok
mip7273, 1, Config1, 393.056905031204, ok
mip7273, 1, Config2, 1064.53366708755, ok
mip7273, 1, Config3, 969.924528121948, ok
mip2192, 1, ConfigDefault, 9600.0, timeout
mip2192, 1, Config1, 1331.01625990867, ok
mip2192, 1, Config2, 5243.95837688446, ok
mip2192, 1, Config3, 4909.69648814201, ok
mip5691, 1, ConfigDefault, 3159.27589893341, ok
mip5691, 1, Config1, 264.173547029495, ok
mip5691, 1, Config2, 499.567098140716, ok
mip5691, 1, Config3, 453.602777004241, ok
mip5216, 1, ConfigDefault, 161.849694013595, ok
mip5216, 1, Config1, 71.1605439186096, ok
mip5216, 1, Config2, 86.9692339897155, ok
mip5216, 1, Config3, 74.9656519889831, ok
mip7440, 1, ConfigDefault, 9600.0, timeout
mip7440, 1, Config1, 2647.6720058918, ok
mip7440, 1, Config2, 4132.05364489555, ok
mip7440, 1, Config3, 4978.30853390693, ok
mip5989, 1, ConfigDefault, 1081.65896201133, ok
