@RELATION FEATURE_COSTS_MIPVerifySDP_SCIPfeatureset


@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE StaticOn NUMERIC
@ATTRIBUTE StaticOff NUMERIC
@ATTRIBUTE Dynamic NUMERIC



@DATA
mip1448, 1, 1.41, 0, 47.57
mip1449, 1, 1.74, 0, 18.94
mip145, 1, 1.17, 0, 8.4
mip1450, 1, 1.64, 0, 28.13
mip1451, 1, 1.39, 0, 20.32
mip1452, 1, 1.3, 0, 28.3
mip1453, 1, 1.36, 0, 32.88
mip1454, 1, 1.38, 0, 10.34
mip1455, 1, 1.37, 0, 17.82
mip1456, 1, 1.43, 0, 18.63
mip1457, 1, 1.35, 0, 32.43
mip1458, 1, 1.28, 0, 12.74
mip1459, 1, 1.19, 0, 15.480000000000002
mip146, 1, 1.39, 0, 19.52
mip1460, 1, 1.38, 0, 13.530000000000001
mip1461, 1, 1.48, 0, 15.39
mip1462, 1, 1.39, 0, 23.62
mip1463, 1, 1.52, 0, 16.88
mip1464, 1, 1.37, 0, 15.239999999999998
mip1465, 1, 1.66, 0, 19.9
mip1466, 1, 1.65, 0, 21.950000000000003
mip1467, 1, 1.37, 0, 11.620000000000001
mip1468, 1, 1.41, 0, 17.93
mip1469, 1, 1.52, 0, 15.650000000000002
mip147, 1, 1.22, 0, 11.92
mip1470, 1, 1.63, 0, 13.02
mip1471, 1, 1.45, 0, 19.02
mip1472, 1, 1.37, 0, 14.989999999999998
mip1473, 1, 1.6, 0, 14.770000000000001
mip1474, 1, 1.35, 0, 13.57
mip1475, 1, 1.37, 0, 20.33
mip1476, 1, 1.28, 0, 18.049999999999997
mip1477, 1, 1.35, 0, 15.840000000000002
mip1478, 1, 1.46, 0, 28.259999999999998
mip1479, 1, 1.39, 0, 18.7
mip148, 1, 1.08, 0, 18.259999999999998
mip1480, 1, 1.49, 0, 33.12
mip1481, 1, 1.37, 0, 16.29
mip1482, 1, 1.46, 0, 22.119999999999997
mip1483, 1, 1.5, 0, 30.14
mip1484, 1, 1.54, 0, 35.03
mip1485, 1, 1.63, 0, 16.080000000000002
mip1486, 1, 1.31, 0, 30.43
mip1487, 1, 1.5, 0, 20.26
mip1488, 1, 1.24, 0, 44.46
mip1489, 1, 1.28, 0, 11.88
mip149, 1, 1.23, 0, 22.13
mip1490, 1, 1.36, 0, 19.2
mip1491, 1, 1.37, 0, 15.52
mip1492, 1, 1.32, 0, 17.5
mip1493, 1, 1.37, 0, 27.22
mip1494, 1, 1.52, 0, 18.35
mip1495, 1, 1.42, 0, 20.759999999999998
mip1496, 1, 1.4, 0, 17.610000000000003
mip1497, 1, 1.48, 0, 120.49
mip1498, 1, 1.46, 0, 15.899999999999999
mip1499, 1, 1.41, 0, 30.16
mip15, 1, 1.39, 0, 43.9
mip150, 1, 1.6, 0, 9.110000000000001
mip1500, 1, 1.51, 0, 48.080000000000005
mip1501, 1, 1.47, 0, 16.03
mip1502, 1, 1.44, 0, 16.63
mip1503, 1, 1.5, 0, 17.84
mip1504, 1, 1.7, 0, 24.1
mip1505, 1, 1.33, 0, 23.009999999999998
mip1506, 1, 1.46, 0, 28.08
mip1507, 1, 1.28, 0, 20.66
mip1508, 1, 1.44, 0, 18.08
mip1509, 1, 1.34, 0, 52.669999999999995
mip151, 1, 1.23, 0, 19.8
mip1510, 1, 1.37, 0, 25.25
mip1511, 1, 1.35, 0, 16.41
mip1512, 1, 1.42, 0, 26.770000000000003
mip1513, 1, 1.32, 0, 13.6
mip1514, 1, 1.7, 0, 18.64
mip1515, 1, 1.31, 0, 12.1
mip1516, 1, 1.34, 0, 23.23
mip1517, 1, 1.57, 0, 17.36
mip1518, 1, 1.31, 0, 17.18
mip1519, 1, 1.22, 0, 15.450000000000001
mip152, 1, 1.24, 0, 12.68
mip1520, 1, 1.57, 0, 38.89
mip1521, 1, 1.38, 0, 14.66
mip1522, 1, 1.34, 0, 29.45
mip1523, 1, 1.7, 0, 17.79
mip1524, 1, 1.28, 0, 13.290000000000001
mip1525, 1, 1.31, 0, 15.62
mip1526, 1, 1.32, 0, 19.56
mip1527, 1, 1.28, 0, 28.49
mip1528, 1, 1.38, 0, 16.92
mip1529, 1, 1.41, 0, 21.25
mip153, 1, 1.23, 0, 15.629999999999999
mip1530, 1, 1.24, 0, 13.379999999999999
mip1531, 1, 1.43, 0, 8.64
mip1532, 1, 1.49, 0, 10.049999999999999
mip1533, 1, 1.6, 0, 14.02
mip1534, 1, 1.25, 0, 28.33
mip1535, 1, 1.25, 0, 11.1
mip1536, 1, 1.23, 0, 32.440000000000005
mip1537, 1, 1.36, 0, 18.62
mip1538, 1, 1.31, 0, 16.09
mip1539, 1, 1.46, 0, 17.27
mip154, 1, 1.39, 0, 12.03
mip1540, 1, 1.38, 0, 18.55
mip1541, 1, 1.49, 0, 16.89
mip1542, 1, 1.52, 0, 15.27
mip1543, 1, 1.41, 0, 18.52
mip1544, 1, 1.44, 0, 16.91
mip1545, 1, 1.57, 0, 17.55
mip1546, 1, 1.4, 0, 16.34
mip1547, 1, 1.25, 0, 18.57
mip1548, 1, 1.39, 0, 22.09
mip1549, 1, 1.49, 0, 26.19
mip155, 1, 1.41, 0, 12.03
mip1550, 1, 1.28, 0, 15.590000000000002
mip1551, 1, 1.55, 0, 14.98
mip1552, 1, 1.32, 0, 17.15
mip1553, 1, 1.54, 0, 13.98
