@RELATION FEATURE_RUNSTATUS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}


@DATA
mip1604, 1, ok
mip1605, 1, ok
mip1606, 1, ok
mip1607, 1, ok
mip1608, 1, ok
mip1609, 1, ok
mip161, 1, ok
mip1610, 1, ok
mip1611, 1, ok
mip1612, 1, ok
mip1613, 1, ok
mip1614, 1, ok
mip1615, 1, ok
mip1616, 1, ok
mip1617, 1, ok
mip1618, 1, ok
mip1619, 1, ok
mip162, 1, ok
mip1620, 1, ok
mip1621, 1, ok
mip1622, 1, ok
mip1623, 1, ok
mip1624, 1, ok
mip1625, 1, ok
mip1626, 1, ok
mip1627, 1, ok
mip1628, 1, ok
mip1629, 1, ok
mip163, 1, ok
mip1630, 1, ok
mip1631, 1, ok
mip1632, 1, ok
mip1633, 1, ok
mip1634, 1, ok
mip1635, 1, ok
mip1636, 1, ok
mip1637, 1, ok
mip1638, 1, ok
mip1639, 1, ok
mip164, 1, ok
mip1640, 1, ok
mip1641, 1, ok
mip1642, 1, ok
mip1643, 1, ok
mip1644, 1, ok
mip1645, 1, ok
mip1646, 1, ok
mip1647, 1, ok
mip1648, 1, ok
mip1649, 1, ok
mip165, 1, ok
mip1650, 1, ok
mip1651, 1, ok
mip1652, 1, ok
mip1653, 1, ok
mip1654, 1, ok
mip1655, 1, ok
mip1656, 1, ok
mip1657, 1, ok
mip1658, 1, ok
mip1659, 1, ok
mip166, 1, ok
mip1660, 1, ok
mip1661, 1, ok
mip1662, 1, ok
mip1663, 1, ok
mip1664, 1, ok
mip1665, 1, ok
mip1666, 1, ok
mip1667, 1, ok
mip1668, 1, ok
mip1669, 1, ok
mip167, 1, ok
mip1670, 1, ok
mip1671, 1, ok
mip1672, 1, ok
mip1673, 1, ok
mip1674, 1, ok
mip1675, 1, ok
mip1676, 1, ok
mip1677, 1, ok
mip1678, 1, ok
mip1679, 1, ok
mip168, 1, ok
mip1680, 1, ok
mip1681, 1, ok
mip1682, 1, ok
mip1683, 1, ok
mip1684, 1, ok
mip1685, 1, ok
mip1686, 1, ok
mip1687, 1, ok
mip1688, 1, ok
mip1689, 1, ok
mip169, 1, ok
mip1690, 1, ok
mip1691, 1, ok
mip1692, 1, ok
mip1693, 1, ok
mip1694, 1, ok
mip1695, 1, ok
mip1696, 1, ok
mip1697, 1, ok
mip1698, 1, ok
mip1699, 1, ok
mip17, 1, ok
mip170, 1, ok
mip1700, 1, ok
mip1701, 1, ok
mip1702, 1, ok
mip1703, 1, ok
mip1704, 1, ok
mip1705, 1, ok
mip1706, 1, ok
mip1707, 1, ok
mip1708, 1, ok
mip1709, 1, ok
mip171, 1, ok
mip1710, 1, ok
mip1711, 1, ok
mip1712, 1, ok
mip1713, 1, ok
mip1714, 1, ok
mip1715, 1, ok
mip1716, 1, ok
mip1717, 1, ok
mip1718, 1, ok
mip1719, 1, ok
mip172, 1, ok
mip1720, 1, ok
mip1721, 1, ok
mip1722, 1, ok
mip1723, 1, ok
mip1724, 1, ok
mip1725, 1, ok
mip1726, 1, ok
mip1727, 1, ok
mip1728, 1, ok
mip1729, 1, ok
mip173, 1, ok
mip1730, 1, ok
mip1731, 1, ok
mip1732, 1, ok
mip1733, 1, ok
mip1734, 1, ok
mip1735, 1, ok
mip1736, 1, ok
mip1737, 1, ok
mip1738, 1, ok
mip1739, 1, ok
mip174, 1, ok
mip1740, 1, ok
mip1741, 1, ok
mip1742, 1, ok
mip1743, 1, ok
mip1744, 1, ok
mip1745, 1, ok
mip1746, 1, ok
mip1747, 1, ok
mip1748, 1, ok
mip1749, 1, ok
mip175, 1, ok
mip1750, 1, ok
mip1751, 1, ok
mip1752, 1, ok
mip1753, 1, ok
mip1754, 1, ok
mip1755, 1, ok
mip1756, 1, ok
mip1757, 1, ok
mip1758, 1, ok
mip1759, 1, ok
mip176, 1, ok
mip1760, 1, ok
mip1761, 1, ok
mip1762, 1, ok
mip1763, 1, ok
mip1764, 1, ok
mip1765, 1, ok
mip1766, 1, ok
mip1767, 1, ok
mip1768, 1, ok
mip1769, 1, ok
mip177, 1, ok
mip1770, 1, ok
mip1771, 1, ok
mip1772, 1, ok
mip1773, 1, ok
mip1774, 1, ok
mip1775, 1, ok
mip1776, 1, ok
mip1777, 1, ok
mip1778, 1, ok
mip1779, 1, ok
mip178, 1, ok
mip1780, 1, ok
mip1781, 1, ok
mip1782, 1, ok
mip1783, 1, ok
mip1784, 1, ok
mip1785, 1, ok
mip1786, 1, ok
mip1787, 1, ok
mip1788, 1, ok
mip1789, 1, ok
mip179, 1, ok
mip1790, 1, ok
mip1791, 1, ok
mip1792, 1, ok
mip1793, 1, ok
mip1794, 1, ok
mip1795, 1, ok
mip1796, 1, ok
mip1797, 1, ok
mip1798, 1, ok
mip1799, 1, ok
mip18, 1, ok
mip180, 1, ok
mip1800, 1, ok
mip1801, 1, ok
mip1802, 1, ok
mip1803, 1, ok
mip1804, 1, ok
mip1805, 1, ok
mip1806, 1, ok
mip1807, 1, ok
mip1808, 1, ok
mip1809, 1, ok
mip181, 1, ok
mip1810, 1, ok
mip1811, 1, ok
mip1812, 1, ok
mip1813, 1, ok
mip1814, 1, ok
mip1815, 1, ok
mip1816, 1, ok
mip1817, 1, ok
mip1818, 1, ok
mip1819, 1, ok
mip182, 1, ok
mip1820, 1, ok
mip1821, 1, ok
mip1822, 1, ok
mip1823, 1, ok
mip1824, 1, ok
mip1825, 1, ok
mip1826, 1, ok
mip1827, 1, ok
mip1828, 1, ok
mip1829, 1, ok
mip183, 1, ok
mip1830, 1, ok
mip1831, 1, ok
mip1832, 1, ok
mip1833, 1, ok
mip1834, 1, ok
mip1835, 1, ok
mip1836, 1, ok
mip1837, 1, ok
mip1838, 1, ok
mip1839, 1, ok
mip184, 1, ok
mip1840, 1, ok
mip1841, 1, ok
mip1842, 1, ok
mip1843, 1, ok
mip1844, 1, ok
mip1845, 1, ok
mip1846, 1, ok
mip1847, 1, ok
mip1848, 1, ok
mip1849, 1, ok
mip185, 1, ok
mip1850, 1, ok
mip1851, 1, ok
mip1852, 1, ok
mip1853, 1, ok
mip1854, 1, ok
mip1855, 1, ok
mip1856, 1, ok
mip1857, 1, ok
mip1858, 1, ok
mip1859, 1, ok
mip186, 1, ok
