@RELATION FEATURE_VALUES_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SolveTime_default NUMERIC
@ATTRIBUTE SolveTime_conf1 NUMERIC
@ATTRIBUTE SolveTime_conf2 NUMERIC
@ATTRIBUTE SolveTime_conf3 NUMERIC


@DATA
mip1056, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1057, 1, 305.588091135025, 1018.56893706321, 76.8656101226806, 79.5956540107727
mip1058, 1, 2230.06315898895, 639.193889141082, 193.925990819931, 253.695369005203
mip1059, 1, 9600.0, 1094.1468989849, 1881.48200392723, 5520.68920111656
mip106, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1060, 1, 71.0721039772033, 386.134369850158, 32.6157159805297, 95.0027909278869
mip1061, 1, 54.0375199317932, 57.1948308944702, 195.830541849136, 43.033143043518
mip1062, 1, 92.7180769443512, 112.02639389038, 39.0205900669097, 14.1999127864837
mip1063, 1, 8.94701194763183, 39.811299085617, 2.15523386001586, 1.78687191009521
mip1064, 1, 5222.94811892509, 1274.06514692306, 827.572862148284, 986.370115041732
