@RELATION FEATURE_COSTS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures NUMERIC


@DATA
mip1420, 1, 0
mip1421, 1, 0
mip1422, 1, 0
mip1423, 1, 0
mip1424, 1, 0
mip1425, 1, 0
mip1426, 1, 0
mip1427, 1, 0
mip1428, 1, 0
mip1429, 1, 0
mip143, 1, 0
mip1430, 1, 0
mip1431, 1, 0
mip1432, 1, 0
mip1433, 1, 0
mip1434, 1, 0
mip1435, 1, 0
mip1436, 1, 0
mip1437, 1, 0
mip1438, 1, 0
mip1439, 1, 0
mip144, 1, 0
mip1440, 1, 0
mip1441, 1, 0
mip1442, 1, 0
mip1443, 1, 0
mip1444, 1, 0
mip1445, 1, 0
mip1446, 1, 0
mip1447, 1, 0
mip1448, 1, 0
mip1449, 1, 0
mip145, 1, 0
mip1450, 1, 0
mip1451, 1, 0
mip1452, 1, 0
mip1453, 1, 0
mip1454, 1, 0
mip1455, 1, 0
mip1456, 1, 0
mip1457, 1, 0
mip1458, 1, 0
mip1459, 1, 0
mip146, 1, 0
mip1460, 1, 0
mip1461, 1, 0
mip1462, 1, 0
mip1463, 1, 0
mip1464, 1, 0
mip1465, 1, 0
mip1466, 1, 0
mip1467, 1, 0
mip1468, 1, 0
mip1469, 1, 0
mip147, 1, 0
mip1470, 1, 0
mip1471, 1, 0
mip1472, 1, 0
mip1473, 1, 0
mip1474, 1, 0
mip1475, 1, 0
mip1476, 1, 0
mip1477, 1, 0
mip1478, 1, 0
mip1479, 1, 0
mip148, 1, 0
mip1480, 1, 0
mip1481, 1, 0
mip1482, 1, 0
mip1483, 1, 0
mip1484, 1, 0
mip1485, 1, 0
mip1486, 1, 0
mip1487, 1, 0
mip1488, 1, 0
mip1489, 1, 0
mip149, 1, 0
mip1490, 1, 0
mip1491, 1, 0
mip1492, 1, 0
mip1493, 1, 0
mip1494, 1, 0
mip1495, 1, 0
mip1496, 1, 0
mip1497, 1, 0
mip1498, 1, 0
mip1499, 1, 0
mip15, 1, 0
mip150, 1, 0
mip1500, 1, 0
mip1501, 1, 0
mip1502, 1, 0
mip1503, 1, 0
mip1504, 1, 0
mip1505, 1, 0
mip1506, 1, 0
mip1507, 1, 0
mip1508, 1, 0
mip1509, 1, 0
mip151, 1, 0
mip1510, 1, 0
mip1511, 1, 0
mip1512, 1, 0
mip1513, 1, 0
mip1514, 1, 0
mip1515, 1, 0
mip1516, 1, 0
mip1517, 1, 0
mip1518, 1, 0
mip1519, 1, 0
mip152, 1, 0
mip1520, 1, 0
mip1521, 1, 0
mip1522, 1, 0
mip1523, 1, 0
mip1524, 1, 0
mip1525, 1, 0
mip1526, 1, 0
mip1527, 1, 0
mip1528, 1, 0
mip1529, 1, 0
mip153, 1, 0
mip1530, 1, 0
mip1531, 1, 0
mip1532, 1, 0
mip1533, 1, 0
mip1534, 1, 0
mip1535, 1, 0
mip1536, 1, 0
mip1537, 1, 0
mip1538, 1, 0
mip1539, 1, 0
mip154, 1, 0
mip1540, 1, 0
mip1541, 1, 0
mip1542, 1, 0
mip1543, 1, 0
mip1544, 1, 0
mip1545, 1, 0
mip1546, 1, 0
mip1547, 1, 0
